Fid,Age,Gender,Street ,City,Latitude,Longitude,DateTime,Consumed_Power_Units,Sector,Division,Label
10.42.0.211-10.42.0.1-43721-53-17,54,Female,700 West 57th Avenue,Vancouver,49.219085,-123.120518,04-01-23 14:23,5764,Transportation,Div11,1
174.35.73.97-10.42.0.211-80-54412-6,57,Male,569 Powell Street,Vancouver,49.283304,-123.09179,04-01-23 16:12,1712,Commerical,Div10,0
10.42.0.211-10.42.0.1-61233-53-17,58,Male,3425 Crowley Drive,Vancouver,49.237104,-123.031863,04-01-23 16:17,5764,Commercial Shops,Div1,0
10.42.0.211-36.110.213.49-51340-80-6,45,Male,1128 Hornby Street,Vancouver,49.278937,-123.126832,04-01-23 16:23,2429,Industrial,Div2,0
10.42.0.211-31.13.73.3-47990-443-6,76,Female,2450 Ontario Street,Vancouver,49.263453,-123.10453,04-01-23 16:41,3687,Residential,Div4,0
10.42.0.211-64.71.142.120-50831-443-6,47,Male,1669 East Broadway,Vancouver,49.262625,-123.070543,04-01-23 16:57,1680,Transportation,Div10,0
172.217.6.206-10.42.0.42-80-48122-6,75,Female,5000 Joyce Avenue,Powell River,49.850831,-124.518356,05-01-23 8:13,9290,Commerical,Div11,1
10.42.0.151-52.84.61.117-47225-443-6,63,Female,1403 Portage Road,Pemberton,50.32076,-122.804482,05-01-23 8:21,250,Commercial Shops,Div7,1
10.42.0.211-10.42.0.1-51819-53-17,33,Male,4380 Lorimer Road,Whistler,50.120463,-122.954906,05-01-23 8:36,27065,Industrial,Div6,0
192.229.173.136-10.42.0.151-443-43154-6,63,Female,38075 2nd Avenue,Squamish,49.699914,-123.153836,05-01-23 8:51,1090,Residential,Div5,0
180.76.148.209-10.42.0.211-80-38708-6,59,Male,821 Gibsons Way,Gibsons,49.406577,-123.515285,05-01-23 8:58,250,Transportation,Div4,0
175.100.207.232-10.42.0.211-443-60550-6,62,Male,5571 Inlet Avenue,Sechelt,49.4743,-123.756326,05-01-23 9:05,915,Commerical,Div3,1
221.228.208.94-10.42.0.42-80-33208-6,64,Female,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 9:06,4460,Commercial Shops,Div15,1
10.42.0.211-10.42.0.1-12900-53-17,60,Female,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 9:36,1806,Industrial,Div12,1
220.243.219.55-10.42.0.42-80-40099-6,61,Male,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 9:46,10031,Residential,Div11,1
172.217.6.238-10.42.0.151-80-57702-6,68,Female,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 10:01,1410,Transportation,Div1,1
10.42.0.211-103.235.46.212-46504-443-6,41,Male,1669 East Broadway,Vancouver,49.262625,-123.070543,05-01-23 10:25,250,Commerical,Div2,0
10.42.0.211-77.234.42.92-54619-443-6,75,Male,1669 East Broadway,Vancouver,49.262625,-123.070543,05-01-23 10:35,250,Commercial Shops,Div4,1
10.42.0.211-106.11.92.1-48985-443-6,62,Female,1669 East Broadway,Vancouver,49.262625,-123.070543,05-01-23 11:02,5335,Industrial,Div10,0
202.77.129.185-10.42.0.211-80-36092-6,89,Male,1128 Hornby Street,Vancouver,49.278937,-123.126832,05-01-23 11:11,1470,Residential,Div11,0
10.42.0.1-10.42.0.42-53-65089-17,35,Male,1128 Hornby Street,Vancouver,49.278937,-123.126832,05-01-23 11:29,3880,Transportation,Div7,0
202.77.129.150-10.42.0.151-80-58283-6,55,Female,1128 Hornby Street,Vancouver,49.278937,-123.126832,05-01-23 11:36,1025,Commerical,Div6,1
172.217.10.238-10.42.0.211-443-50602-6,54,Male,569 Powell Street,Vancouver,49.283304,-123.09179,05-01-23 11:43,1950,Commercial Shops,Div5,0
182.22.24.124-10.42.0.211-443-53913-6,66,Male,569 Powell Street,Vancouver,49.283304,-123.09179,05-01-23 11:47,1090,Industrial,Div4,1
183.79.215.136-10.42.0.42-443-34783-6,60,Female,569 Powell Street,Vancouver,49.283304,-123.09179,05-01-23 11:49,1550,Residential,Div3,0
10.42.0.211-10.42.0.1-48184-53-17,69,Female,3425 Crowley Drive,Vancouver,49.237104,-123.031863,05-01-23 11:59,1300,Transportation,Div15,1
10.42.0.211-104.118.220.50-60572-443-6,47,Female,3425 Crowley Drive,Vancouver,49.237104,-123.031863,05-01-23 12:03,1200,Commerical,Div12,0
10.42.0.151-103.235.46.211-56588-443-6,59,Female,3425 Crowley Drive,Vancouver,49.237104,-123.031863,05-01-23 12:21,1902,Commercial Shops,Div11,1
152.163.56.2-10.42.0.211-443-60209-6,60,Male,59 West Pender Street,Vancouver,49.28123,-123.106776,05-01-23 12:35,50,Industrial,Div11,1
10.42.0.151-10.42.0.1-20303-53-17,67,Male,59 West Pender Street,Vancouver,49.28123,-123.106776,05-01-23 12:51,1300,Residential,Div10,0
10.42.0.211-104.192.108.27-52137-80-6,65,Female,59 West Pender Street,Vancouver,49.28123,-123.106776,05-01-23 13:00,1780,Transportation,Div1,1
10.42.0.211-104.192.110.245-59670-443-6,66,Female,2450 Ontario Street,Vancouver,49.263453,-123.10453,05-01-23 13:26,1910,Commerical,Div2,0
172.217.10.3-10.42.0.151-443-36801-6,62,Male,2450 Ontario Street,Vancouver,49.263453,-123.10453,05-01-23 13:32,1270,Commercial Shops,Div4,0
172.217.10.4-10.42.0.151-443-58544-6,63,Female,2450 Ontario Street,Vancouver,49.263453,-123.10453,05-01-23 13:33,5367,Industrial,Div10,1
10.42.0.151-10.42.0.1-47335-53-17,74,Male,220-1200 West 73rd Avenue,Vancouver,49.203898,-123.133751,05-01-23 13:36,4040,Residential,Div11,1
10.42.0.151-10.42.0.1-50952-53-17,54,Female,220-1200 West 73rd Avenue,Vancouver,49.203898,-123.133751,05-01-23 13:40,250400,Transportation,Div7,0
172.217.3.106-10.42.0.211-443-38436-6,59,Male,220-1200 West 73rd Avenue,Vancouver,49.203898,-123.133751,05-01-23 13:56,50550,Commerical,Div6,1
10.42.0.151-10.42.0.1-19451-53-17,50,Male,419 East 24th Avenue,Vancouver,49.249356,-123.09422,05-01-23 14:02,2376,Commercial Shops,Div5,0
180.149.136.194-10.42.0.211-443-39345-6,80,Male,419 East 24th Avenue,Vancouver,49.249356,-123.09422,05-01-23 14:15,640,Industrial,Div4,1
10.42.0.1-10.42.0.42-53-7759-17,56,Male,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 14:21,1662,Residential,Div3,0
216.58.219.238-10.42.0.42-443-57197-6,62,Male,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 14:34,1662,Transportation,Div15,1
10.42.0.211-106.11.92.1-49264-443-6,56,Male,152 East 15th Street,North Vancouver,49.322065,-123.069933,05-01-23 14:56,1088,Commerical,Div12,0
222.73.28.96-10.42.0.211-80-47961-6,72,Female,152 East 15th Street,North Vancouver,49.322065,-123.069933,05-01-23 15:02,1250,Commercial Shops,Div11,0
183.79.250.251-10.42.0.211-443-54399-6,56,Female,59 West Pender Street,Vancouver,49.28123,-123.106776,05-01-23 15:02,1090,Industrial,Div1,0
192.229.173.173-10.42.0.211-80-39952-6,78,Female,1128 Hornby Street,Vancouver,49.278937,-123.126832,05-01-23 15:27,1640,Residential,Div2,0
172.217.12.206-10.42.0.211-443-37249-6,67,Male,569 Powell Street,Vancouver,49.283304,-123.09179,05-01-23 15:52,800,Transportation,Div4,0
180.163.255.159-10.42.0.211-443-60226-6,68,Male,2450 Ontario Street,Vancouver,49.263453,-123.10453,05-01-23 16:00,2180,Commerical,Div10,1
10.42.0.211-10.42.0.1-7721-53-17,68,Male,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 16:06,1640,Commercial Shops,Div11,1
10.42.0.211-13.93.152.202-54187-443-6,67,Male,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 16:12,1380,Industrial,Div7,0
208.80.154.224-10.42.0.211-443-41415-6,46,Male,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 16:14,2180,Residential,Div6,0
172.217.11.46-10.42.0.211-443-36373-6,72,Female,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 16:33,1550,Transportation,Div5,0
10.42.0.151-106.39.169.66-52294-80-6,66,Male,2750 E Hastings Street,Vancouver,49.281018,-123.047873,05-01-23 16:39,2070,Commerical,Div4,1
10.42.0.211-10.42.0.1-59903-53-17,33,Male,4088 Cambie Street,Vancouver,49.249256,-123.115333,05-01-23 16:54,250,Commercial Shops,Div3,1
10.42.0.211-23.206.162.129-39571-80-6,61,Female,4088 Cambie Street,Vancouver,49.249256,-123.115333,05-01-23 17:00,250,Industrial,Div15,1
10.42.0.1-10.42.0.42-53-39869-17,51,Female,4088 Cambie Street,Vancouver,49.249256,-123.115333,05-01-23 17:06,1040,Residential,Div12,1
180.149.136.194-10.42.0.211-443-33000-6,67,Female,520 West 6th Avenue,Vancouver,49.265798,-123.115765,05-01-23 18:08,2180,Transportation,Div11,1
10.42.0.151-66.102.255.61-37352-80-6,56,Female,520 West 6th Avenue,Vancouver,49.265798,-123.115765,06-01-23 8:34,1240,Commerical,Div10,0
10.42.0.211-119.146.74.33-50788-443-6,41,Female,1145 Commercial Drive,Vancouver,49.274391,-123.069697,06-01-23 8:36,1380,Commercial Shops,Div1,1
172.217.10.131-10.42.0.151-443-57607-6,71,Female,1128 Hornby Street,Vancouver,49.278937,-123.126832,06-01-23 8:50,1285,Industrial,Div2,0
10.42.0.42-64.71.142.110-44985-80-6,60,Female,1128 Hornby Street,Vancouver,49.278937,-123.126832,06-01-23 9:02,4665,Residential,Div4,0
198.11.132.178-10.42.0.211-443-41230-6,53,Female,2450 Ontario Street,Vancouver,49.263453,-123.10453,06-01-23 9:09,1090,Transportation,Div10,0
172.217.9.238-10.42.0.211-443-33553-6,28,Male,2450 Ontario Street,Vancouver,49.263453,-123.10453,06-01-23 9:15,3000,Commerical,Div11,1
202.77.129.230-10.42.0.211-80-47955-6,70,Male,1128 Hornby Street,Vancouver,49.278937,-123.126832,06-01-23 9:18,2045,Commercial Shops,Div7,0
10.42.0.211-64.71.142.124-38648-443-6,55,Male,1128 Hornby Street,Vancouver,49.278937,-123.126832,06-01-23 9:32,3294,Industrial,Div6,1
182.22.65.136-10.42.0.211-443-57981-6,46,Male,569 Powell Street,Vancouver,49.283304,-123.09179,06-01-23 9:39,3480,Residential,Div5,0
10.42.0.42-72.30.3.43-49217-443-6,56,Female,569 Powell Street,Vancouver,49.283304,-123.09179,06-01-23 9:58,2856,Transportation,Div4,1
180.149.153.234-10.42.0.211-80-52477-6,64,Female,3425 Crowley Drive,Vancouver,49.237104,-123.031863,06-01-23 10:13,600,Commerical,Div3,0
10.42.0.1-10.42.0.42-53-13511-17,69,Male,3425 Crowley Drive,Vancouver,49.237104,-123.031863,06-01-23 10:33,2340,Commercial Shops,Div15,1
180.149.134.142-10.42.0.211-80-41278-6,62,Female,59 West Pender Street,Vancouver,49.28123,-123.106776,06-01-23 11:12,2340,Industrial,Div12,1
172.217.10.14-10.42.0.211-443-57430-6,59,Male,59 West Pender Street,Vancouver,49.28123,-123.106776,06-01-23 11:25,2340,Residential,Div11,0
172.217.12.174-10.42.0.151-443-39157-6,45,Female,220-1200 West 73rd Avenue,Vancouver,49.203898,-123.133751,06-01-23 11:31,2340,Transportation,Div1,1
172.217.12.136-10.42.0.151-443-36812-6,73,Female,220-1200 West 73rd Avenue,Vancouver,49.203898,-123.133751,06-01-23 11:38,1940,Commerical,Div2,0
199.16.156.43-10.42.0.151-443-33509-6,55,Female,5542 Sunshine Coast Highway,Sechelt,49.473525,-123.754594,06-01-23 11:49,1940,Commercial Shops,Div4,0
10.42.0.151-40.122.44.96-34536-443-6,61,Female,5542 Sunshine Coast Highway,Sechelt,49.473525,-123.754594,06-01-23 11:59,2210,Industrial,Div10,1
172.217.12.142-10.42.0.211-443-49526-6,57,Female,211 West 1st Street,North Vancouver,49.313362,-123.082414,06-01-23 12:04,1370,Residential,Div11,1
10.42.0.211-54.192.38.154-53340-443-6,68,Female,211 West 1st Street,North Vancouver,49.313362,-123.082414,06-01-23 12:11,4530,Transportation,Div7,0
172.217.10.142-10.42.0.42-443-37627-6,54,Female,1403 Portage Road,Pemberton,50.32076,-122.804482,06-01-23 12:20,600,Commerical,Div6,1
219.142.78.162-10.42.0.151-80-41745-6,69,Male,1403 Portage Road,Pemberton,50.32076,-122.804482,06-01-23 12:36,1210,Commercial Shops,Div5,0
10.42.0.211-69.147.64.34-46373-443-6,64,Male,210-7671 Alderbridge Way,Richmond,49.174679,-123.14441,06-01-23 12:41,1540,Industrial,Div4,1
180.149.153.234-10.42.0.211-80-49577-6,57,Female,210-7671 Alderbridge Way,Richmond,49.174679,-123.14441,06-01-23 12:51,1090,Residential,Div3,0
10.42.0.151-10.42.0.1-43455-53-17,67,Female,38075 2nd Avenue,Squamish,49.699914,-123.153836,06-01-23 13:00,1517,Transportation,Div15,1
10.42.0.151-10.42.0.1-1303-53-17,48,Male,38075 2nd Avenue,Squamish,49.699914,-123.153836,06-01-23 13:06,2900,Commerical,Div12,0
10.42.0.151-52.218.49.108-47762-80-6,66,Female,623 Powell Street,Vancouver,49.283307,-123.090642,06-01-23 13:17,1090,Commercial Shops,Div2,0
203.205.179.170-10.42.0.211-80-50103-6,61,Male,623 Powell Street,Vancouver,49.283307,-123.090642,06-01-23 14:02,2288,Industrial,Div4,0
10.42.0.42-106.11.129.143-55642-443-6,65,Female,330 Heatley Avenue,Vancouver,49.281206,-123.089569,06-01-23 14:06,600,Residential,Div10,0
10.42.0.211-72.21.206.53-49770-443-6,48,Male,330 Heatley Avenue,Vancouver,49.281206,-123.089569,06-01-23 14:20,600,Transportation,Div11,0
10.42.0.42-106.11.92.1-44676-443-6,59,Male,4380 Lorimer Road,Whistler,50.120463,-122.954906,06-01-23 14:29,1640,Commerical,Div7,1
172.217.6.234-10.42.0.211-443-56032-6,43,Male,4380 Lorimer Road,Whistler,50.120463,-122.954906,06-01-23 14:35,1270,Commercial Shops,Div6,1
203.205.158.62-10.42.0.211-80-33443-6,47,Female,2110 West 43rd Avenue,Vancouver,49.232689,-123.156036,06-01-23 14:41,1640,Industrial,Div5,0
10.42.0.151-10.42.0.1-4315-53-17,50,Female,5066 Francis Peninsula Road,Madeira Park,49.608066,-124.022669,06-01-23 15:56,250,Residential,Div4,0
10.42.0.211-66.102.255.61-36643-443-6,72,Female,3425 Crowley Drive,Vancouver,49.237104,-123.031863,06-01-23 16:03,250,Transportation,Div3,0
172.217.11.14-10.42.0.151-443-43508-6,71,Male,4380 Lorimer Road,Whistler,50.120463,-122.954906,06-01-23 16:13,50,Commerical,Div15,1
203.205.144.184-10.42.0.151-80-40790-6,66,Male,1140 Hunter Place,Squamish,49.702958,-123.146301,06-01-23 16:26,250,Commercial Shops,Div12,1
10.42.0.211-123.125.115.164-47715-443-6,52,Male,5571 Inlet Avenue,Sechelt,49.4743,-123.756326,06-01-23 16:42,1910,Industrial,Div11,1
10.42.0.151-103.235.46.39-50643-80-6,67,Male,5000 Joyce Avenue,Powell River,49.850831,-124.518356,06-01-23 16:50,5201,Residential,Div1,1
10.42.0.211-36.110.213.49-60366-80-6,62,Female,1128 Hornby Street,Vancouver,49.278937,-123.126832,06-01-23 16:59,12187,Transportation,Div2,1
10.42.0.151-31.13.80.5-54547-443-6,66,Female,6405 Knight Street,Vancouver,49.226208,-123.077502,06-01-23 17:16,1590,Commerical,Div4,0
10.42.0.211-31.13.80.5-39369-443-6,63,Female,132 Esplanade West,North Vancouver,49.311674,-123.080569,06-01-23 17:21,1294,Commercial Shops,Div10,1
172.217.10.110-10.42.0.151-443-37018-6,59,Female,1403 Portage Road,Pemberton,50.32076,-122.804482,07-01-23 8:13,3132,Industrial,Div11,0
10.42.0.211-98.139.225.43-50398-443-6,56,Male,8100 Granville Avenue,Richmond,49.16266,-123.134769,07-01-23 8:14,1340,Residential,Div7,0
203.205.158.63-10.42.0.211-80-38560-6,41,Male,2121 Marine Drive,West Vancouver,49.330132,-123.168844,07-01-23 8:22,4788,Transportation,Div6,0
10.42.0.42-103.43.91.18-50884-443-6,75,Female,821 Gibsons Way,Gibsons,49.406577,-123.515285,07-01-23 8:26,3110,Commerical,Div5,1
192.229.173.136-10.42.0.211-443-36901-6,44,Male,1669 East Broadway,Vancouver,49.262625,-123.070543,07-01-23 8:30,720,Commercial Shops,Div4,0
172.217.3.106-10.42.0.211-443-53133-6,41,Male,2450 Ontario Street,Vancouver,49.263453,-123.10453,07-01-23 8:30,1100,Industrial,Div3,1
202.77.129.230-10.42.0.211-80-44977-6,44,Male,3625 Banff Court,North Vancouver,49.318123,-122.97075,07-01-23 8:39,2586,Residential,Div15,0
10.42.0.211-52.84.139.210-53435-80-6,32,Male,520 West 6th Avenue,Vancouver,49.265798,-123.115765,07-01-23 8:43,1820,Transportation,Div12,1
192.229.173.173-10.42.0.211-443-48497-6,72,Female,720 East 17th Street,North Vancouver,49.324065,-123.05384,07-01-23 8:59,1397,Commerical,Div11,0
172.217.6.238-10.42.0.151-443-33866-6,54,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 9:04,0,Commercial Shops,Div11,1
10.42.0.211-98.139.199.205-37100-443-6,49,Female,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 9:12,1370,Industrial,Div10,1
10.42.0.211-103.7.30.118-45944-80-6,50,Male,2110 West 43rd Avenue,Vancouver,49.232689,-123.156036,07-01-23 9:55,1235,Residential,Div1,0
10.42.0.1-10.42.0.42-53-64910-17,57,Female,6405 Knight Street,Vancouver,49.226208,-123.077502,07-01-23 10:15,1090,Transportation,Div2,1
10.42.0.211-10.42.0.1-43186-53-17,70,Female,1669 East Broadway,Vancouver,49.262625,-123.070543,07-01-23 10:19,5180,Commerical,Div4,0
10.42.0.151-121.12.98.64-33778-80-6,57,Female,1128 Hornby Street,Vancouver,49.278937,-123.126832,07-01-23 10:27,1280,Commercial Shops,Div10,0
10.42.0.211-58.63.236.212-42039-443-6,62,Male,2450 Ontario Street,Vancouver,49.263453,-123.10453,07-01-23 10:40,1430,Industrial,Div11,1
10.42.0.211-64.71.142.124-55735-443-6,55,Male,3425 Crowley Drive,Vancouver,49.237104,-123.031863,07-01-23 11:03,1240,Residential,Div7,1
180.96.74.33-10.42.0.151-80-44789-6,79,Male,715 12th Avenue W,Vancouver,49.26052,-123.120388,07-01-23 11:09,450,Transportation,Div6,0
172.217.11.14-10.42.0.151-443-55884-6,82,Female,7000 Westminster Highway,Richmond,49.170162,-123.147547,07-01-23 11:14,-2056,Commerical,Div5,1
208.80.154.224-10.42.0.211-443-53567-6,65,Female,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 11:27,2272,Commercial Shops,Div4,0
209.10.120.24-10.42.0.211-80-41414-6,61,Male,145 West 1st Street,North Vancouver,49.312579,-123.080455,07-01-23 11:27,2370,Industrial,Div3,1
172.217.12.170-10.42.0.151-443-33092-6,69,Female,520 West 6th Avenue,Vancouver,49.265798,-123.115765,07-01-23 11:41,7082,Residential,Div15,0
203.205.158.63-10.42.0.211-80-51834-6,40,Female,10220 Granville Avenue,Richmond,49.162783,-123.111553,07-01-23 11:48,1115,Transportation,Div12,1
10.42.0.211-64.71.142.110-57930-443-6,49,Male,10220 Granville Avenue,Richmond,49.162783,-123.111553,07-01-23 12:02,9105,Commerical,Div11,0
172.217.10.238-10.42.0.211-443-45492-6,76,Female,2750 E Hastings Street,Vancouver,49.281018,-123.047873,07-01-23 12:07,1551,Commercial Shops,Div1,0
172.217.3.100-10.42.0.151-443-47424-6,61,Female,2750 E Hastings Street,Vancouver,49.281018,-123.047873,07-01-23 12:20,4359,Industrial,Div2,0
172.217.12.206-10.42.0.42-443-41863-6,62,Female,2750 E Hastings Street,Vancouver,49.281018,-123.047873,07-01-23 12:37,2095,Residential,Div4,0
10.42.0.211-104.254.66.16-44501-80-6,48,Male,L50-4946 Canada Way,Burnaby,49.245111,-122.972419,07-01-23 12:45,2375,Transportation,Div10,0
172.217.3.99-10.42.0.151-443-41874-6,65,Female,L50-4946 Canada Way,Burnaby,49.245111,-122.972419,07-01-23 12:51,693,Commerical,Div11,1
10.42.0.151-106.11.129.143-58315-443-6,71,Male,7000 Westminster Highway,Richmond,49.170162,-123.147547,07-01-23 13:00,1654,Commercial Shops,Div7,1
174.35.73.108-10.42.0.42-80-50255-6,66,Male,7000 Westminster Highway,Richmond,49.170162,-123.147547,07-01-23 13:15,250,Industrial,Div6,0
10.42.0.1-10.42.0.42-53-1367-17,64,Female,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 13:22,250,Residential,Div5,0
203.130.53.126-10.42.0.42-80-50846-6,59,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 13:33,1190,Transportation,Div4,0
151.101.21.140-10.42.0.211-443-42595-6,68,Male,5544 Sunshine Coast Highway,Sechelt,49.475307,-123.749159,07-01-23 13:42,1540,Commerical,Div3,1
10.42.0.211-10.42.0.1-7856-53-17,87,Male,5544 Sunshine Coast Highway,Sechelt,49.475307,-123.749159,07-01-23 13:51,1250,Commercial Shops,Div15,1
10.42.0.211-72.21.206.121-34201-443-6,71,Female,8100 Granville Avenue,Richmond,49.16266,-123.134769,07-01-23 13:56,3100,Industrial,Div12,1
172.217.10.14-10.42.0.151-443-41432-6,56,Female,8100 Granville Avenue,Richmond,49.16266,-123.134769,07-01-23 14:05,600,Residential,Div11,1
10.42.0.211-104.193.88.102-55887-443-6,65,Female,8100 Granville Avenue,Richmond,49.16266,-123.134769,07-01-23 14:17,1782,Transportation,Div10,1
172.217.6.202-10.42.0.151-443-58639-6,54,Male,8100 Granville Avenue,Richmond,49.16266,-123.134769,07-01-23 14:20,1782,Commerical,Div1,0
216.58.219.194-10.42.0.42-443-36769-6,65,Female,8100 Granville Avenue,Richmond,49.16266,-123.134769,07-01-23 15:53,2589,Commercial Shops,Div2,1
172.217.3.110-10.42.0.42-443-60183-6,45,Female,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 16:12,1782,Industrial,Div4,0
10.42.0.211-10.42.0.1-46561-53-17,64,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 16:21,1588,Residential,Div10,0
10.42.0.42-66.198.178.91-57417-443-6,64,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 16:31,1588,Transportation,Div11,0
174.35.73.78-10.42.0.151-80-48211-6,55,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 16:47,10625,Commerical,Div7,1
10.42.0.42-62.138.0.117-51683-80-6,69,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,07-01-23 16:53,1698,Commercial Shops,Div6,0
10.42.0.1-10.42.0.42-53-9299-17,63,Female,7000 Westminster Highway,Richmond,49.170162,-123.147547,07-01-23 16:56,1630,Industrial,Div5,1
203.205.158.53-10.42.0.42-80-50110-6,45,Male,7000 Westminster Highway,Richmond,49.170162,-123.147547,08-01-23 8:05,3000,Residential,Div4,0
172.217.2.110-10.42.0.151-443-36184-6,56,Female,7000 Westminster Highway,Richmond,49.170162,-123.147547,08-01-23 8:11,640,Transportation,Div3,1
172.217.3.106-10.42.0.211-443-49160-6,55,Female,7000 Westminster Highway,Richmond,49.170162,-123.147547,08-01-23 8:16,2018,Commerical,Div15,0
10.42.0.151-119.146.74.34-42421-80-6,62,Male,7000 Westminster Highway,Richmond,49.170162,-123.147547,08-01-23 8:19,840,Commercial Shops,Div12,1
172.217.10.131-10.42.0.151-443-60476-6,51,Male,2215 Wesbrook Mall,Vancouver,49.264747,-123.244274,08-01-23 8:22,840,Industrial,Div11,1
172.217.9.234-10.42.0.151-443-38065-6,51,Female,2215 Wesbrook Mall,Vancouver,49.264747,-123.244274,08-01-23 8:25,1100,Residential,Div1,0
172.217.2.106-10.42.0.211-443-59370-6,66,Female,2215 Wesbrook Mall,Vancouver,49.264747,-123.244274,08-01-23 8:45,1565,Transportation,Div2,1
172.217.11.46-10.42.0.42-443-36670-6,53,Male,2215 Wesbrook Mall,Vancouver,49.264747,-123.244274,08-01-23 9:05,1190,Commerical,Div4,0
10.42.0.151-14.204.144.143-39504-80-6,57,Male,2215 Wesbrook Mall,Vancouver,49.264747,-123.244274,08-01-23 9:15,4160,Commercial Shops,Div10,0
10.42.0.211-10.42.0.1-12329-53-17,73,Female,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,08-01-23 9:26,1090,Industrial,Div11,1
10.42.0.211-40.122.162.208-40888-443-6,65,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,08-01-23 9:29,450,Residential,Div2,1
224.0.0.251-10.42.0.1-5353-5353-17,50,Female,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,08-01-23 10:18,930,Transportation,Div4,0
10.42.0.42-108.174.11.1-52108-80-6,64,Female,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,08-01-23 10:23,1090,Commerical,Div10,1
172.217.10.106-10.42.0.151-443-33034-6,62,Male,1337 St. Andrews Avenue,North Vancouver,49.320363,-123.066145,08-01-23 10:37,250,Commercial Shops,Div11,0
10.42.0.211-23.203.49.224-39850-443-6,54,Male,803 West 12th Avenue,Vancouver,49.26059,-123.122337,08-01-23 11:19,250,Industrial,Div7,1
